post_id,user_post,processed_post,topic,cluster,cluster_label,sentiment_scores,neg,neu,pos,compound,positive_membership,negative_membership,neutral_membership
12,EcoWarrior: Kudos to the city for implementing solar lighting and sustainable materials in the park's construction. 🌞♻️,kudos city implementing solar lighting sustainable material park construction,0,0,0,"{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.5106}",0.0,0.829,0.171,0.5106,0.171,0.0,0.829
13,"BudgetWatcher: The park is nice, but the costs seem too high. Where is the funding coming from?",park nice cost seem high funding coming,0,0,0,"{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.2263}",0.0,0.894,0.106,0.2263,0.106,0.0,0.894
14,PetOwner: Awesome that there's a designated dog area! My pups have a blast and it's separated from the main paths.,awesome there designated dog area pup blast separated main path,1,2,2,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.6588}",0.0,0.795,0.205,0.6588,0.205,0.0,0.795
15,ArtLover: The sculptures and art installations in the park are inspiring. Makes the space feel culturally rich.,sculpture art installation park inspiring make space feel culturally rich,3,0,0,"{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.7506}",0.0,0.701,0.299,0.7506,0.299,0.0,0.701
16,"NoiseNerd: Too many events and concerts in the park. It's supposed to be a peaceful place, not a festival ground.",many event concert park supposed peaceful place festival ground,2,1,1,"{'neg': 0.12, 'neu': 0.733, 'pos': 0.147, 'compound': 0.1461}",0.12,0.733,0.147,0.1461,0.147,0.12,0.733
17,"CyclistMike: Great bike trails! Finally, a safe place to ride without worrying about traffic.",great bike trail finally safe place ride without worrying traffic,4,1,1,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.8529}",0.0,0.517,0.483,0.8529,0.483,0.0,0.517
18,"ConcernedNeighbor: Since the park opened, there's been an increase in litter around the vicinity. Maintenance needs improvement.",since park opened there increase litter around vicinity maintenance need improvement,2,0,0,"{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.6486}",0.0,0.739,0.261,0.6486,0.261,0.0,0.739
19,TeenSpirit: The skate park section is sick! It’s the first of its kind in our city. 👍🛹,skate park section sick first kind city,0,0,0,"{'neg': 0.15, 'neu': 0.682, 'pos': 0.168, 'compound': 0.1007}",0.15,0.682,0.168,0.1007,0.168,0.15,0.682
20,QuietQuinn: I go there every morning to read and meditate. It’s my sanctuary in the middle of the city.,go every morning read meditate sanctuary middle city,1,0,0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,0.0,0.0,1.0
21,"LocalBusiness: Businesses near the park have seen more foot traffic, which is good for the local economy. Win-win!",business near park seen foot traffic good local economy winwin,3,3,3,"{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.4926}",0.0,0.842,0.158,0.4926,0.158,0.0,0.842
22,WeatherWatcher: Not a fan of how the park looks in the rain. Some benches are slippery and there’s poor drainage.,fan park look rain bench slippery there poor drainage,3,0,0,"{'neg': 0.229, 'neu': 0.771, 'pos': 0.0, 'compound': -0.6202}",0.229,0.771,0.0,-0.6202,0.0,0.229,0.771
23,AccessibilityAdvocate: Kudos for making the park accessible for everyone. Ramps and wide paths make a big difference.,kudos making park accessible everyone ramp wide path make big difference,4,0,0,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.5106}",0.0,0.82,0.18,0.5106,0.18,0.0,0.82
24,SafetySue: I’ve heard reports of petty theft in the park after dark. Can the city increase patrols?,ive heard report petty theft park dark city increase patrol,2,0,0,"{'neg': 0.094, 'neu': 0.785, 'pos': 0.12, 'compound': 0.128}",0.094,0.785,0.12,0.128,0.12012012012012012,0.0940940940940941,0.7857857857857858
25,PicnicPro: Perfect spot for weekend picnics. Plenty of space and the views are amazing!,perfect spot weekend picnic plenty space view amazing,3,3,3,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.8313}",0.0,0.606,0.394,0.8313,0.394,0.0,0.606
26,BudgetWatcher2: Still waiting for the promised upgrades to the park facilities. It feels incomplete.,still waiting promised upgrade park facility feel incomplete,0,0,0,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3612}",0.0,0.839,0.161,0.3612,0.161,0.0,0.839
27,EventEnthusiast: Looking forward to the summer concerts in the park! It’s going to bring the community together.,looking forward summer concert park going bring community together,1,1,1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,0.0,0.0,1.0
28,GardenerGal: The community garden section is a fantastic idea. Can’t wait to plant my veggies there.,community garden section fantastic idea cant wait plant veggie,2,1,1,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.5574}",0.0,0.795,0.205,0.5574,0.205,0.0,0.795
29,TechieTom: Why isn’t there free Wi-Fi in the park? It would be great for people who want to work outdoors.,isnt free wifi park would great people want work outdoors,0,3,3,"{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.8271}",0.0,0.661,0.339,0.8271,0.339,0.0,0.661
30,"NightOwl: Love evening walks in the park, but the lighting on the paths needs to be brighter for safety.",love evening walk park lighting path need brighter safety,4,0,0,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8658}",0.0,0.623,0.377,0.8658,0.377,0.0,0.623
31,CommunityKid31: The new basketball courts are awesome! My friends and I play there every day after school.,new basketball court awesome friend play every day school,2,3,3,"{'neg': 0.0, 'neu': 0.568, 'pos': 0.432, 'compound': 0.8718}",0.0,0.568,0.432,0.8718,0.432,0.0,0.568
32,UrbanCritic: Feels like the park was designed without considering the needs of all residents. More input from the community is needed.,feel like park designed without considering need resident input community needed,2,0,0,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.3612}",0.0,0.889,0.111,0.3612,0.111,0.0,0.889
33,SunshineSarah: The open fields are perfect for flying kites and playing frisbee. Love the spaciousness!,open field perfect flying kite playing frisbee love spaciousness,4,3,3,"{'neg': 0.0, 'neu': 0.546, 'pos': 0.454, 'compound': 0.8748}",0.0,0.546,0.454,0.8748,0.454,0.0,0.546
34,"BusyBee45: It's nice to have a green space nearby, but sometimes it feels deserted and uninviting during weekdays.",nice green space nearby sometimes feel deserted uninviting weekday,4,0,0,"{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.2263}",0.0,0.894,0.106,0.2263,0.106,0.0,0.894
35,ArtisanAndy: The local artists' market set up in the park every weekend adds a vibrant touch. Support local talent!,local artist market set park every weekend add vibrant touch support local talent,3,3,3,"{'neg': 0.0, 'neu': 0.62, 'pos': 0.38, 'compound': 0.8478}",0.0,0.62,0.38,0.8478,0.38,0.0,0.62
36,GreenGuardian: Happy to see native plants being used. It helps support local wildlife and reduces maintenance.,happy see native plant used help support local wildlife reduces maintenance,2,3,3,"{'neg': 0.0, 'neu': 0.591, 'pos': 0.409, 'compound': 0.8402}",0.0,0.591,0.409,0.8402,0.409,0.0,0.591
37,ParkingParker: Finding a parking spot near the park is a hassle. Maybe the city can look into better parking solutions.,finding parking spot near park hassle maybe city look better parking solution,3,0,0,"{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.5574}",0.0,0.777,0.223,0.5574,0.223,0.0,0.777
38,YogaYvonne: The morning yoga classes in the park are so peaceful. Great initiative for community wellness.,morning yoga class park peaceful great initiative community wellness,3,3,3,"{'neg': 0.0, 'neu': 0.533, 'pos': 0.467, 'compound': 0.908}",0.0,0.533,0.467,0.908,0.467,0.0,0.533
39,SilentObserver: Sometimes I just want a quiet place without kids running around. The park is too busy for my taste.,sometimes want quiet place without kid running around park busy taste,0,1,1,"{'neg': 0.0, 'neu': 0.929, 'pos': 0.071, 'compound': 0.0772}",0.0,0.929,0.071,0.0772,0.071,0.0,0.929
40,"BicycleBarry: The new bike racks are convenient, but more secure options are needed to prevent theft.",new bike rack convenient secure option needed prevent theft,2,3,3,"{'neg': 0.0, 'neu': 0.749, 'pos': 0.251, 'compound': 0.5704}",0.0,0.749,0.251,0.5704,0.251,0.0,0.749
41,ConcertLover: The amphitheater in the park is fantastic for live performances. Looking forward to more shows!,amphitheater park fantastic live performance looking forward show,1,1,1,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.5983}",0.0,0.794,0.206,0.5983,0.206,0.0,0.794
42,"TrashTara: The trash bins are insufficient, leading to litter everywhere. Needs better waste management.",trash bin insufficient leading litter everywhere need better waste management,4,1,1,"{'neg': 0.158, 'neu': 0.678, 'pos': 0.164, 'compound': 0.0258}",0.158,0.678,0.164,0.0258,0.164,0.158,0.678
43,PicassoPatti: The mural near the entrance is stunning. Adds so much character to the park!,mural near entrance stunning add much character park,0,0,0,"{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.4389}",0.0,0.829,0.171,0.4389,0.171,0.0,0.829
44,"RunnerRick: Great place for running, but some of the paths are uneven and need repair.",great place running path uneven need repair,4,1,1,"{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.3716}",0.0,0.846,0.154,0.3716,0.154,0.0,0.846
45,FamilyGuy45: The family-friendly events organized by the park are wonderful. Keeps everyone engaged and entertained.,familyfriendly event organized park wonderful keep everyone engaged entertained,1,1,1,"{'neg': 0.0, 'neu': 0.569, 'pos': 0.431, 'compound': 0.8442}",0.0,0.569,0.431,0.8442,0.431,0.0,0.569
46,DigitalNomad: A few power outlets around would be awesome for those of us who like to work outdoors.,power outlet around would awesome u like work outdoors,4,3,3,"{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.765}",0.0,0.694,0.306,0.765,0.306,0.0,0.694
47,SeniorSam: The benches are comfortable and plentiful. A nice place to sit and enjoy the scenery.,bench comfortable plentiful nice place sit enjoy scenery,4,0,0,"{'neg': 0.0, 'neu': 0.563, 'pos': 0.437, 'compound': 0.8519}",0.0,0.563,0.437,0.8519,0.437,0.0,0.563
48,LocalLaura: Glad the park has a map and information boards. Helps newcomers navigate and enjoy the space better.,glad park map information board help newcomer navigate enjoy space better,1,2,2,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.8934}",0.0,0.526,0.474,0.8934,0.474,0.0,0.526
49,PlaygroundPaul: The new swings and slides are safe and fun. My kids haven’t stopped playing since it opened.,new swing slide safe fun kid havent stopped playing since opened,3,1,1,"{'neg': 0.079, 'neu': 0.586, 'pos': 0.335, 'compound': 0.7269}",0.079,0.586,0.335,0.7269,0.335,0.079,0.586
50,CommunityKid50: The new park has become the center of our neighborhood activities. Great job to the city planners!,new park become center neighborhood activity great job city planner,0,0,0,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.6588}",0.0,0.795,0.205,0.6588,0.205,0.0,0.795
51,SunshineSarah51: The open fields are perfect for flying kites and playing frisbee. Love the spaciousness!,open field perfect flying kite playing frisbee love spaciousness,4,3,3,"{'neg': 0.0, 'neu': 0.546, 'pos': 0.454, 'compound': 0.8748}",0.0,0.546,0.454,0.8748,0.454,0.0,0.546
52,"BusyBee45: It's nice to have a green space nearby, but sometimes it feels deserted and uninviting during weekdays.",nice green space nearby sometimes feel deserted uninviting weekday,4,0,0,"{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.2263}",0.0,0.894,0.106,0.2263,0.106,0.0,0.894
53,ArtisanAndy: The local artists' market set up in the park every weekend adds a vibrant touch. Support local talent!,local artist market set park every weekend add vibrant touch support local talent,3,3,3,"{'neg': 0.0, 'neu': 0.62, 'pos': 0.38, 'compound': 0.8478}",0.0,0.62,0.38,0.8478,0.38,0.0,0.62
54,GreenGuardian: Happy to see native plants being used. It helps support local wildlife and reduces maintenance.,happy see native plant used help support local wildlife reduces maintenance,2,3,3,"{'neg': 0.0, 'neu': 0.591, 'pos': 0.409, 'compound': 0.8402}",0.0,0.591,0.409,0.8402,0.409,0.0,0.591
55,ParkingParker: Finding a parking spot near the park is a hassle. Maybe the city can look into better parking solutions.,finding parking spot near park hassle maybe city look better parking solution,3,0,0,"{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.5574}",0.0,0.777,0.223,0.5574,0.223,0.0,0.777
56,YogaYvonne: The morning yoga classes in the park are so peaceful. Great initiative for community wellness.,morning yoga class park peaceful great initiative community wellness,3,3,3,"{'neg': 0.0, 'neu': 0.533, 'pos': 0.467, 'compound': 0.908}",0.0,0.533,0.467,0.908,0.467,0.0,0.533
57,SilentObserver: Sometimes I just want a quiet place without kids running around. The park is too busy for my taste.,sometimes want quiet place without kid running around park busy taste,0,1,1,"{'neg': 0.0, 'neu': 0.929, 'pos': 0.071, 'compound': 0.0772}",0.0,0.929,0.071,0.0772,0.071,0.0,0.929
58,"BicycleBarry: The new bike racks are convenient, but more secure options are needed to prevent theft.",new bike rack convenient secure option needed prevent theft,2,3,3,"{'neg': 0.0, 'neu': 0.749, 'pos': 0.251, 'compound': 0.5704}",0.0,0.749,0.251,0.5704,0.251,0.0,0.749
59,ConcertLover: The amphitheater in the park is fantastic for live performances. Looking forward to more shows!,amphitheater park fantastic live performance looking forward show,1,1,1,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.5983}",0.0,0.794,0.206,0.5983,0.206,0.0,0.794
60,"TrashTara: The trash bins are insufficient, leading to litter everywhere. Needs better waste management.",trash bin insufficient leading litter everywhere need better waste management,4,1,1,"{'neg': 0.158, 'neu': 0.678, 'pos': 0.164, 'compound': 0.0258}",0.158,0.678,0.164,0.0258,0.164,0.158,0.678
61,PicassoPatti: The mural near the entrance is stunning. Adds so much character to the park!,mural near entrance stunning add much character park,0,0,0,"{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.4389}",0.0,0.829,0.171,0.4389,0.171,0.0,0.829
62,"RunnerRick: Great place for running, but some of the paths are uneven and need repair.",great place running path uneven need repair,4,1,1,"{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.3716}",0.0,0.846,0.154,0.3716,0.154,0.0,0.846
63,FamilyGuy45: The family-friendly events organized by the park are wonderful. Keeps everyone engaged and entertained.,familyfriendly event organized park wonderful keep everyone engaged entertained,1,1,1,"{'neg': 0.0, 'neu': 0.569, 'pos': 0.431, 'compound': 0.8442}",0.0,0.569,0.431,0.8442,0.431,0.0,0.569
64,DigitalNomad: A few power outlets around would be awesome for those of us who like to work outdoors.,power outlet around would awesome u like work outdoors,4,3,3,"{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.765}",0.0,0.694,0.306,0.765,0.306,0.0,0.694
65,SeniorSam: The benches are comfortable and plentiful. A nice place to sit and enjoy the scenery.,bench comfortable plentiful nice place sit enjoy scenery,4,0,0,"{'neg': 0.0, 'neu': 0.563, 'pos': 0.437, 'compound': 0.8519}",0.0,0.563,0.437,0.8519,0.437,0.0,0.563
66,LocalLaura: Glad the park has a map and information boards. Helps newcomers navigate and enjoy the space better.,glad park map information board help newcomer navigate enjoy space better,1,2,2,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.8934}",0.0,0.526,0.474,0.8934,0.474,0.0,0.526
67,PlaygroundPaul: The new swings and slides are safe and fun. My kids haven’t stopped playing since it opened.,new swing slide safe fun kid havent stopped playing since opened,3,1,1,"{'neg': 0.079, 'neu': 0.586, 'pos': 0.335, 'compound': 0.7269}",0.079,0.586,0.335,0.7269,0.335,0.079,0.586
68,CommunityKid50: The new park has become the center of our neighborhood activities. Great job to the city planners!,new park become center neighborhood activity great job city planner,0,0,0,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.6588}",0.0,0.795,0.205,0.6588,0.205,0.0,0.795
69,FoodieFrank: The food trucks during events are a great addition. Variety and delicious options available.,food truck event great addition variety delicious option available,4,3,3,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.8316}",0.0,0.606,0.394,0.8316,0.394,0.0,0.606
70,TechGuruTina: It would be great if the park had charging stations for our devices. Keeps us connected while enjoying nature.,would great park charging station device keep u connected enjoying nature,1,1,1,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.8176}",0.0,0.706,0.294,0.8176,0.294,0.0,0.706
71,MusicMike: The sound quality at the amphitheater could be better. Sometimes the music is too loud and distorts.,sound quality amphitheater could better sometimes music loud distorts,1,2,2,"{'neg': 0.113, 'neu': 0.751, 'pos': 0.136, 'compound': 0.128}",0.113,0.751,0.136,0.128,0.136,0.113,0.751
72,HistoryHelen: Loved the historical plaques around the park. It's a nice touch to educate visitors about the area.,loved historical plaque around park nice touch educate visitor area,0,0,0,"{'neg': 0.0, 'neu': 0.691, 'pos': 0.309, 'compound': 0.7717}",0.0,0.691,0.309,0.7717,0.309,0.0,0.691
73,SportySteve: Wish there were more sports facilities like tennis courts. The current options are limited.,wish sport facility like tennis court current option limited,4,2,2,"{'neg': 0.098, 'neu': 0.62, 'pos': 0.282, 'compound': 0.552}",0.098,0.62,0.282,0.552,0.282,0.098,0.62
74,BookwormBetty: The little library kiosk is a fantastic idea! Encourages reading and sharing books among visitors.,little library kiosk fantastic idea encourages reading sharing book among visitor,1,3,3,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.8622}",0.0,0.556,0.444,0.8622,0.444,0.0,0.556
75,"PetFriendlyPam: Appreciate the pet-friendly policies, but there should be more waste stations for pet owners.",appreciate petfriendly policy waste station pet owner,2,1,1,"{'neg': 0.218, 'neu': 0.685, 'pos': 0.097, 'compound': -0.5089}",0.218,0.685,0.097,-0.5089,0.097,0.218,0.685
76,EarlyBirdEli: The sunrise views from the park are breathtaking. Perfect way to start the day.,sunrise view park breathtaking perfect way start day,3,3,3,"{'neg': 0.0, 'neu': 0.66, 'pos': 0.34, 'compound': 0.7717}",0.0,0.66,0.34,0.7717,0.34,0.0,0.66
77,"NightStrollNina: Evening walks are lovely, but some areas feel unsafe. More lighting needed throughout the park.",evening walk lovely area feel unsafe lighting needed throughout park,4,0,0,"{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.34}",0.0,0.862,0.138,0.34,0.138,0.0,0.862
78,ArtisticAmy: Love the rotating art exhibits. Keeps the park fresh and interesting every month.,love rotating art exhibit keep park fresh interesting every month,4,0,0,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.8481}",0.0,0.545,0.455,0.8481,0.455,0.0,0.545
79,CommunityChef: The outdoor cooking classes are a hit! Great way to learn new recipes and meet people.,outdoor cooking class hit great way learn new recipe meet people,4,3,3,"{'neg': 0.0, 'neu': 0.774, 'pos': 0.226, 'compound': 0.6588}",0.0,0.774,0.226,0.6588,0.226,0.0,0.774
80,FitFamFred: The park's fitness trails are excellent for family workouts. Encourages healthy living together.,park fitness trail excellent family workout encourages healthy living together,1,3,3,"{'neg': 0.0, 'neu': 0.467, 'pos': 0.533, 'compound': 0.886}",0.0,0.467,0.533,0.886,0.533,0.0,0.467
81,"UrbanExplorer: There are some hidden gems in the park, like the small waterfall. Makes exploring fun.",hidden gem park like small waterfall make exploring fun,3,0,0,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.7003}",0.0,0.707,0.293,0.7003,0.293,0.0,0.707
82,GreenEnergyGary: Solar-powered lights are a great eco-friendly feature. Shows the city's commitment to sustainability.,solarpowered light great ecofriendly feature show city commitment sustainability,3,2,2,"{'neg': 0.0, 'neu': 0.621, 'pos': 0.379, 'compound': 0.7717}",0.0,0.621,0.379,0.7717,0.379,0.0,0.621
83,TechSavvySasha: Would love to see an app for the park with event schedules and trail maps.,would love see app park event schedule trail map,1,0,0,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.6369}",0.0,0.781,0.219,0.6369,0.219,0.0,0.781
84,PeacefulPenny: The meditation zones are serene and help me unwind after a long day.,meditation zone serene help unwind long day,0,3,3,"{'neg': 0.0, 'neu': 0.659, 'pos': 0.341, 'compound': 0.6908}",0.0,0.659,0.341,0.6908,0.341,0.0,0.659
85,LocalLarry: The partnership with local schools for educational tours is commendable. Engages the youth effectively.,partnership local school educational tour commendable engages youth effectively,2,3,3,"{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0.5994}",0.0,0.726,0.274,0.5994,0.274,0.0,0.726
86,ArtisticAva: The interactive art installations are a great way to engage visitors of all ages.,interactive art installation great way engage visitor age,4,3,3,"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.7579}",0.0,0.649,0.351,0.7579,0.351,0.0,0.649
87,"BusyMomMia: While the park is great, having more childcare facilities nearby would be helpful for busy parents.",park great childcare facility nearby would helpful busy parent,0,2,2,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.7845}",0.0,0.685,0.315,0.7845,0.315,0.0,0.685
88,AdventureAlex: The zip line is thrilling! Adds an adventurous element to the park's attractions.,zip line thrilling add adventurous element park attraction,2,0,0,"{'neg': 0.0, 'neu': 0.561, 'pos': 0.439, 'compound': 0.8221}",0.0,0.561,0.439,0.8221,0.439,0.0,0.561
89,RelaxedRita: Enjoying the hammock areas. Perfect for a lazy afternoon nap under the trees.,enjoying hammock area perfect lazy afternoon nap tree,3,2,2,"{'neg': 0.128, 'neu': 0.51, 'pos': 0.362, 'compound': 0.6808}",0.128,0.51,0.362,0.6808,0.362,0.128,0.51
90,CommunityCarla: The volunteer programs for park maintenance foster a sense of community pride.,volunteer program park maintenance foster sense community pride,2,1,1,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.34}",0.0,0.821,0.179,0.34,0.179,0.0,0.821
91,TechieTom2: Still waiting for free Wi-Fi options. It's a must-have for modern park-goers.,still waiting free wifi option musthave modern parkgoers,0,3,3,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.5106}",0.0,0.769,0.231,0.5106,0.231,0.0,0.769
92,HealthNutHank: The fresh produce from the community garden is fantastic. Encourages healthy eating.,fresh produce community garden fantastic encourages healthy eating,2,3,3,"{'neg': 0.0, 'neu': 0.439, 'pos': 0.561, 'compound': 0.8885}",0.0,0.439,0.561,0.8885,0.561,0.0,0.439
93,SportsSamantha: Wish there were more organized sports leagues using the park's facilities.,wish organized sport league using park facility,1,1,1,"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.4019}",0.0,0.803,0.197,0.4019,0.197,0.0,0.803
94,GreenThumbGary: The plant workshops are educational and help improve our gardening skills.,plant workshop educational help improve gardening skill,4,1,1,"{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.6808}",0.0,0.641,0.359,0.6808,0.359,0.0,0.641
95,MusicMaya: Sometimes the background music in the park is too repetitive. Variety would be nice.,sometimes background music park repetitive variety would nice,0,0,0,"{'neg': 0.112, 'neu': 0.73, 'pos': 0.157, 'compound': 0.2023}",0.112,0.73,0.157,0.2023,0.15715715715715717,0.11211211211211211,0.7307307307307307
96,EventEddie: The annual park festival is always a highlight. Brings everyone together in a fun way.,annual park festival always highlight brings everyone together fun way,4,0,0,"{'neg': 0.0, 'neu': 0.553, 'pos': 0.447, 'compound': 0.836}",0.0,0.553,0.447,0.836,0.447,0.0,0.553
97,CreativeChris: The graffiti wall is awesome! A great outlet for local artists to showcase their work.,graffiti wall awesome great outlet local artist showcase work,3,3,3,"{'neg': 0.0, 'neu': 0.605, 'pos': 0.395, 'compound': 0.8588}",0.0,0.605,0.395,0.8588,0.395,0.0,0.605
98,HappyHelen: The fountain area is so relaxing. Kids love playing around it while parents can relax nearby.,fountain area relaxing kid love playing around parent relax nearby,4,2,2,"{'neg': 0.0, 'neu': 0.495, 'pos': 0.505, 'compound': 0.9229}",0.0,0.495,0.505,0.9229,0.505,0.0,0.495
99,OutdoorOscar: The camping spots near the park are a great addition for weekend getaways.,camping spot near park great addition weekend getaway,3,3,3,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.6249}",0.0,0.745,0.255,0.6249,0.255,0.0,0.745
100,YogiYara: The designated yoga zones are peaceful and well-maintained. Perfect for my daily practice.,designated yoga zone peaceful wellmaintained perfect daily practice,0,3,3,"{'neg': 0.0, 'neu': 0.635, 'pos': 0.365, 'compound': 0.7845}",0.0,0.635,0.365,0.7845,0.365,0.0,0.635
